acquisition_channel,device,segment_combination,eligible_users,activated_users,activation_rate,conversion_rate,gap_vs_overall_pp,activation_rank
Referral,Desktop,Referral / Desktop,711,473,0.6653,0.1111,14.9,1
Email,Desktop,Email / Desktop,605,379,0.6264,0.0760,11.1,2
Referral,Tablet,Referral / Tablet,117,72,0.6154,0.0769,9.9,3
Organic,Desktop,Organic / Desktop,1354,765,0.5650,0.0606,4.9,4
Email,Tablet,Email / Tablet,100,55,0.5500,0.0800,3.4,5
Paid Search,Desktop,Paid Search / Desktop,1004,526,0.5239,0.0448,0.8,6
Organic,Tablet,Organic / Tablet,252,131,0.5198,0.0397,0.4,7
Referral,Mobile,Referral / Mobile,453,228,0.5033,0.0773,-1.3,8
Social,Desktop,Social / Desktop,906,439,0.4845,0.0353,-3.1,9
Paid Search,Tablet,Paid Search / Tablet,186,90,0.4839,0.0484,-3.2,10
Social,Tablet,Social / Tablet,156,73,0.4679,0.0449,-4.8,11
Organic,Mobile,Organic / Mobile,861,388,0.4506,0.0557,-6.5,12
Paid Search,Mobile,Paid Search / Mobile,643,267,0.4152,0.0482,-10.1,13
Email,Mobile,Email / Mobile,347,144,0.4150,0.0490,-10.1,14
Social,Mobile,Social / Mobile,539,218,0.4045,0.0223,-11.1,15
